date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:00:27	254433/254433	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-wat16.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-wat16.pdf	(from https://blondon.github.io/publication/)
07:00:28	22967/22967	---M--	200	added ('OK')	text/html	etag:%225eee6be5-59b7%22	https://blondon.github.io/publication/london-nips-17/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-nips-17/index.html	(from https://blondon.github.io/)
07:00:37	266550/266550	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-optopt16.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-optopt16.pdf	(from https://blondon.github.io/publication/)
07:00:40	22158/22158	---M--	200	added ('OK')	text/html	etag:%225eee6be5-568e%22	https://blondon.github.io/publication/london-jmlr-16/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-jmlr-16/index.html	(from https://blondon.github.io/)
07:01:43	247025/247025	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-optml16.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-optml16.pdf	(from https://blondon.github.io/publication/)
07:01:44	806972/806972	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-icml15.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-icml15.pdf	(from https://blondon.github.io/publication/)
07:01:44	512979/512979	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/namata-tkdd15.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/namata-tkdd15.pdf	(from https://blondon.github.io/publication/)
07:01:47	46024/46024	---M--	200	added ('OK')	text/html	etag:%225eee6be5-b3c8%22	https://blondon.github.io/publication/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/index.html	(from https://blondon.github.io/)
07:01:56	309894/309894	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/pujara-uai15.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/pujara-uai15.pdf	(from https://blondon.github.io/publication/)
07:01:59	18154/18154	---M--	200	added ('OK')	text/html	etag:%225eee6be5-46ea%22	https://blondon.github.io/publication/london-causalml-18/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-causalml-18/index.html	(from https://blondon.github.io/authors/ben-london/)
07:03:01	501903/501903	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-aistats14.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-aistats14.pdf	(from https://blondon.github.io/publication/)
07:03:01	259805/259805	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-nips14ws.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-nips14ws.pdf	(from https://blondon.github.io/publication/)
07:03:03	13460/13460	---M--	200	added ('OK')	text/html	etag:%225eee6be5-3494%22	https://blondon.github.io/tags/pac-bayes/	C:/Users/User/Desktop/Website/website/blondon.github.io/tags/pac-bayes/index.html	(from https://blondon.github.io/publication/london-jmlr-16/)
07:03:04	210506/210506	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-nips13ws.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-nips13ws.pdf	(from https://blondon.github.io/publication/)
07:03:06	13388/13388	---M--	200	added ('OK')	text/html	etag:%225eee6be5-344c%22	https://blondon.github.io/authors/sabina-tomkins/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/sabina-tomkins/index.html	(from https://blondon.github.io/publication/)
07:03:15	471642/471642	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-arxiv13b.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-arxiv13b.pdf	(from https://blondon.github.io/publication/)
07:04:17	388696/388696	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/bach-uai13.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/bach-uai13.pdf	(from https://blondon.github.io/publication/)
07:04:19	13598/13598	---M--	200	added ('OK')	text/html	etag:%225eee6be5-351e%22	https://blondon.github.io/authors/jay-pujara/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/jay-pujara/index.html	(from https://blondon.github.io/publication/)
07:04:20	307110/307110	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-arxiv13a.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-arxiv13a.pdf	(from https://blondon.github.io/publication/)
07:04:22	243514/243514	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/huang-slg13.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/huang-slg13.pdf	(from https://blondon.github.io/publication/)
07:04:25	13794/13794	---M--	200	added ('OK')	text/html	etag:%225eee6be5-35e2%22	https://blondon.github.io/authors/benjamin-taskar/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/benjamin-taskar/index.html	(from https://blondon.github.io/publication/)
07:04:31	382792/382792	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-icml13.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-icml13.pdf	(from https://blondon.github.io/publication/)
07:04:33	13561/13561	---M--	200	added ('OK')	text/html	etag:%225eee6be5-34f9%22	https://blondon.github.io/authors/theodoros-rekatsinas/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/theodoros-rekatsinas/index.html	(from https://blondon.github.io/publication/)
07:05:36	722854/722854	URF---	200	added ('OK%20(cached)')	application/pdf		https://blondon.github.io/papers/london-cvpr13.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-cvpr13.pdf	(from https://blondon.github.io/publication/)
07:05:38	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/xml	etag:W/%225eee6be5-496%22	https://blondon.github.io/tags/pac-bayes/index.xml	C:/Users/User/Desktop/Website/website/blondon.github.io/tags/pac-bayes/index.xml	(from https://blondon.github.io/tags/pac-bayes/)
