date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:58	20524/20524	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-502c%22	https://blondon.github.io/publication/london-icml-19/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-icml-19/index.html	(from https://blondon.github.io/)
18:36:58	17397/17397	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-43f5%22	https://blondon.github.io/authors/ben-london/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/ben-london/index.html	(from https://blondon.github.io/)
18:37:07	13447/13447	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-3487%22	https://blondon.github.io/authors/ted-sandler/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/ted-sandler/index.html	(from https://blondon.github.io/)
18:37:42	21698/21698	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-54c2%22	https://blondon.github.io/publication/meshi-jmlr-19/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/meshi-jmlr-19/index.html	(from https://blondon.github.io/)
18:37:42	13498/13498	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-34ba%22	https://blondon.github.io/authors/ofer-meshi/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/ofer-meshi/index.html	(from https://blondon.github.io/)
18:37:42	13512/13512	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-34c8%22	https://blondon.github.io/authors/david-weller/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/david-weller/index.html	(from https://blondon.github.io/)
18:37:50	13344/13344	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-3420%22	https://blondon.github.io/authors/david-sontag/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/david-sontag/index.html	(from https://blondon.github.io/)
18:38:26	22967/22967	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-59b7%22	https://blondon.github.io/publication/london-nips-17/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-nips-17/index.html	(from https://blondon.github.io/)
18:38:26	22158/22158	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-568e%22	https://blondon.github.io/publication/london-jmlr-16/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-jmlr-16/index.html	(from https://blondon.github.io/)
18:38:26	15312/15312	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-3bd0%22	https://blondon.github.io/authors/bert-huang/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/bert-huang/index.html	(from https://blondon.github.io/)
18:38:26	16181/16181	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-3f35%22	https://blondon.github.io/authors/lise-getoor/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/lise-getoor/index.html	(from https://blondon.github.io/)
18:38:26	46024/46024	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-b3c8%22	https://blondon.github.io/publication/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/index.html	(from https://blondon.github.io/)
18:38:26	10620/10620	---M-Z	200	added ('OK')	application/xml	etag:W/%225eee6be5-297c%22	https://blondon.github.io/authors/ben-london/index.xml	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/ben-london/index.xml	(from https://blondon.github.io/authors/ben-london/)
18:39:10	18793/18793	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4969%22	https://blondon.github.io/publication/tomkins-recsys-18/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/tomkins-recsys-18/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:10	18154/18154	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-46ea%22	https://blondon.github.io/publication/london-causalml-18/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-causalml-18/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:10	18533/18533	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4865%22	https://blondon.github.io/publication/london-optml-16/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-optml-16/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:10	18599/18599	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-48a7%22	https://blondon.github.io/publication/london-optopt-16/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-optopt-16/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:10	23280/23280	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-5af0%22	https://blondon.github.io/publication/pujara-uai-15/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/pujara-uai-15/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:10	1579/1579	---M-Z	200	added ('OK')	application/xml	etag:W/%225eee6be5-62b%22	https://blondon.github.io/authors/david-weller/index.xml	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/david-weller/index.xml	(from https://blondon.github.io/authors/david-weller/)
18:39:19	18038/18038	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4676%22	https://blondon.github.io/publication/london-wat-16/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-wat-16/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:19	18031/18031	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-466f%22	https://blondon.github.io/publication/namata-tkdd-15/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/namata-tkdd-15/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:19	17607/17607	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-44c7%22	https://blondon.github.io/publication/london-thesis-15/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-thesis-15/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:19	18160/18160	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-46f0%22	https://blondon.github.io/publication/pujara-starai-15/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/pujara-starai-15/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:20	18430/18430	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-47fe%22	https://blondon.github.io/publication/london-icml-15/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-icml-15/index.html	(from https://blondon.github.io/authors/ben-london/)
18:39:20	1213/1213	---M-Z	200	added ('OK')	application/xml	etag:W/%225eee6be5-4bd%22	https://blondon.github.io/authors/david-sontag/index.xml	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/david-sontag/index.xml	(from https://blondon.github.io/authors/david-sontag/)
18:40:03	18139/18139	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-46db%22	https://blondon.github.io/publication/london-aistats-14/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-aistats-14/index.html	(from https://blondon.github.io/authors/ben-london/)
